,Title,Summary
51,a year in review - dấu ấn bách khoa 2022,"năm 2022 đầy thử thách và đổi mới sắp qua đi, trường đại học bách khoa - đhqg-tp.hcm đã gặt hái được những thành quả đáng khích lệ, tiếp tục có nhiều điểm sáng trong quốc tế hóa giáo dục đại học; đào tạo và kiểm định; khoa học công nghệ; hợp tác quốc tế,..."
52,ký kết hợp tác với công ty tnhh abb automation & electrification,"chiều ngày 29/12/2022, tại hội trường b11, đã diễn ra lễ ký kết mou giữa khoa cơ khí và ban robot và tự động hóa nhà máy thuộc công ty tnhh abb automation & electrification."
53,quỹ học bổng dove fund trao tặng 20 suất học bổng cho sinh viên bách khoa,"chiều 29/12, chương trình học bổng dove fund đã trao tặng 20 suất học bổng dove fund, mỗi suất trị giá 300 usd cho sinh viên trường đại học bách khoa."
54,góc tin khởi nghiệp - đổi mới sáng tạo tháng 12/2022,góc tin khởi nghiệp - đổi mới sáng tạo tháng 12 với các hoạt động thông tin về buổi hội thảo quan trọng với chủ đề “thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp: kinh nghiệm của đại học quốc gia singapore” do đại học quốc gia thành phố hồ chí minh tổ chức và sự kiện tổng kết các hoạt động và thành tựu về khởi nghiệp đổi mới sáng tạo của trường đại học bách khoa năm 2022.
55,trường đại học bách khoa thúc đẩy tinh thần khởi nghiệp đổi mới sáng tạo trong sinh viên,"sáng ngày 28/12, nhằm tổng kết lại các hoạt động và thành tựu về khởi nghiệp đổi mới sáng tạo của trường đại học bách khoa năm 2022, đồng thời mở rộng kết nối với các doanh nghiệp, tổ chức, các quỹ đầu tư trong hệ sinh thái khởi nghiệp, phòng khoa học công nghệ - dự án, trung tâm ươm tạo doanh nghiệp công nghệ phối hợp cùng đoàn thanh niên - hội sinh viên trường đại học bách khoa tổ chức hội thảo “kết nối hợp tác và phát triển cùng hệ sinh thái khởi nghiệp đổi mới sáng tạo trường đại học bách khoa”."
56,“thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp: kinh nghiệm của đại học quốc gia singapore”,"chiều thứ tư 21/12/2022 tại hội trường trần chí đáo - nhà điều hành đhqg-hcm, đoàn trường đại học bách khoa gồm đại diện bgh, lãnh đạo các khoa, p.khcn-da, trung tâm ươm tạo doanh nghiệp công nghệ và các các sinh viên đã tham dự hội thảo với chủ đề “thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp: kinh nghiệm của đại học quốc gia singapore” do đại học quốc gia thành phố hồ chí minh (đhqg-hcm) tổ chức."
57,"trường đại học bách khoa tham gia buỗi lễ ký kết hợp tác bền vững tại hội thảo quốc tế khu vực châu á, dự án enhance","vừa qua, đoàn cán bộ trường đại học bách khoa – đhqg hcm đã có chuyến làm việc tại indonesia để tham gia hội thảo quốc tế khu vực châu á trong khuôn khổ dự án enhance. hội thảo do trường đại học udayana, đại học gadjah mada và viện công nghệ bandung cùng phối hợp với dự án enhance tổ chức."
58,"trường đại học bách khoa tham gia buỗi lễ ký kết hợp tác bền vững tại hội thảo quốc tế khu vực châu á, dự án enhance","vừa qua, đoàn cán bộ trường đại học bách khoa – đhqg hcm đã có chuyến làm việc tại indonesia để tham gia hội thảo quốc tế khu vực châu á trong khuôn khổ dự án enhance. hội thảo do trường đại học udayana, đại học gadjah mada và viện công nghệ bandung cùng phối hợp với dự án enhance tổ chức."
59,trường đh bách khoa ký kết hợp tác với lg display việt nam hải phòng,"sáng 27/12, đại diện công ty tnhh lg display việt nam hải phòng đã đến thăm trường đại học bách khoa. tại đây, nhà trường và doanh nghiệp đã ký kết thỏa thuận, đặt nền móng cho quan hệ hợp tác lâu dài giữa đôi bên."
60,900 triệu đồng tiền học bổng được trao tặng cho sinh viên trường đại học bách khoa,"chiều ngày 26/12, quỹ tài trợ khát vọng tương lai thuộc công ty cổ phần chứng khoán mirae asset việt nam đã trao tặng 30 suất học bổng, mỗi suất trị giá 30 triệu đồng cho 30 sinh viên trường đại học bách khoa - đhqg tp.hcm. tại buổi trao học bổng, nhà trường và doanh nghiệp đã tiến hành ký kết hợp tác với nhau trên một số phương diện liên quan đến giáo dục đào tạo."
61,trường đh bách khoa tổ chức ngày hội kỹ thuật 2023,"sáng 24/12/2022, trường đh bách khoa-đhqg-hcm tổ chức ngày hội kỹ thuật năm 2023. đây là hoạt động thường niên dành cho các bạn sinh viên có đam mê nghiên cứu khoa học và cũng là sự kiện trực tiếp đầu tiên dành cho tân sinh viên khoá 2022 của trường."
62,hơn 300 vận động viên tham gia đường đua bk run 2022,"sáng ngày 21/12 tại sân b2, đường đua “bk run 2022” chính thức khởi động, thu hút hơn 300 vận động viên là cán bộ, viên chức, người lao động trường đh bách khoa-đhqg-hcm tham gia. không những xuất sắc trong thi đua dạy và học, trường còn đẩy mạnh các phong trào thể dục thể thao, hướng đến tạo lập môi trường làm việc năng động, nhiệt huyết."
63,lễ ra quân chiến dịch xuân tình nguyện 2023,"sáng ngày 20/12/2022, tại sân h6 cơ sở dĩ an trường đại học bách khoa - đhqg-hcm, hội sinh viên trường đã long trọng tổ chức lễ ra quân chiến dịch xuân tình nguyện 2023. đây là một trong những chiến dịch tình nguyện thường niên của trường đh bách khoa-đhqg-hcm."
64,trường đh bách khoa và bệnh viện phục hồi chức năng - điều trị bệnh nghề nghiệp ký kết hợp tác,"sáng ngày 20/12/2022, tại bệnh viện phục hồi chức năng - điều trị bệnh nghề nghiệp (q8, tp.hcm) đã diễn ra lễ ký kết hợp tác giữa trường đh bách khoa-đhqg-hcm và bệnh viện phục hồi chức năng - điều trị bệnh nghề nghiệp trong lĩnh vực nghiên cứu khoa học, chuyển giao công nghệ và đào tạo."
65,đánh giá chất lượng theo bộ tiêu chuẩn aun-qa cho ngành kỹ thuật vật liệu,"sáng ngày 19/12/2022, lễ khai mạc đánh giá chất lượng cấp chương trình đào tạo theo bộ tiêu chuẩn quốc tế aun-qa năm 2022 cho ngành kỹ thuật vật liệu đã được tổ chức trực tuyến trên zoom."
66,trường đại học bách khoa tổ chức trao bằng tốt nghiệp cho các tân thạc sĩ khóa 2020,"sáng ngày 17/12/2022 vừa qua, trường đại học bách khoa, chương trình thạc sĩ chất lượng cao bk-imp đã tổ chức lễ tốt nghiệp và trao bằng thạc sĩ cho các học viên khóa 2020 tại hội trường b4, trường đại học bách khoa. buổi lễ tốt nghiệp đã khép lại một chặng đường học tập, tích luỹ kiến thức với nhiều kỉ niệm đáng nhớ và cũng mở ra một hành trình mới để các học viên có thể ứng dụng những kiến thức đã học để phát triển sự nghiệp trong tương lai."
